layer,site,order,anchor,anchor_side,exp_dim,group_size,ppl,ppl_repeats,n_evals,diverged,accepted,is_seed,delta_vs_incumbent,wall_s,apply_ms,assignment_hash,paired_ci_low,paired_ci_high
11,attention,1,1,max,10,256,4.48144558842666,4.48144558842666,1,False,False,False,-0.002947845781877234,25.983360197860748,4.580559907481074,bd77a4c1aa94d68d,-0.011365339187144663,0.020348448587276913
11,attention,2,3,max,10,256,4.482324215690901,4.482324215690901,1,False,False,False,-0.0038264730461179397,25.95208195806481,5.130648147314787,8869571a1e212047,-0.011013824134134431,-0.0008906582851153644
12,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
12,attention,1,1,max,10,256,4.484286588512155,4.484286588512155,1,False,False,False,-0.005788845867371606,25.951540984911844,4.537331871688366,0d4461092790b605,-0.012202859642963304,-0.00041011718316408263
12,attention,2,3,max,10,256,4.4806208132979854,4.4806208132979854,1,False,False,False,-0.0021230706532024968,25.953111816896126,5.2098240703344345,ddad2bd8ad8c0ce2,-0.00568503561398348,0.0006470529636457556
13,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
13,attention,1,1,max,10,256,4.491818296207834,4.491818296207834,1,False,False,False,-0.01332055356305073,25.94876101310365,4.518636967986822,0c104f35fda75bf6,-0.02103072057385269,-0.003909670266304843
13,attention,2,3,max,10,256,4.479585118265187,4.479585118265187,1,False,False,False,-0.001087375620404174,25.943791416008025,5.21474308334291,3f7e8803a2c3cc12,-0.00918226666078148,0.0030324190863160183
14,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
14,attention,1,1,max,10,256,4.479407697567815,4.479407697567815,1,False,False,False,-0.0009099549230322523,25.937427564989775,4.603053908795118,7d00f0ef8c839f3f,-0.00825184751182828,0.009448225721474302
14,attention,2,3,max,10,256,4.482122508885794,4.482122508885794,1,False,False,False,-0.003624766241011379,26.067497610114515,5.212318850681186,17be37a31234f2e0,-0.007469479177824034,-0.0013658213824601084
15,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
