ppl,ppl_token_weighted,total_loss,num_batches,n_tokens,wall_s,gpu_s,apply_ms,assignment_hash,input_hash,peak_mem_cuda:0,peak_mem_cuda:1,prov_torch,prov_transformers,prov_python,prov_cuda,prov_n_devices,prov_function_name,prov_profiling,prov_model
4.482122508885794,4.482122508885794,6.000386834144592,4,32768,25.967857461888343,25.967833984375,5.0956630147993565,17be37a31234f2e0,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.4938661189077616,4.4938661189077616,6.01085352897644,4,32768,25.956307627260685,25.9562734375,5.707873962819576,f409aaf5a614099f,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.479770823451809,4.479770823451809,5.998287558555603,4,32768,25.98400982422754,25.983998046875,5.5215549655258656,bb1bb29cfc89735d,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.483047763246892,4.483047763246892,6.001212477684021,4,32768,25.992676716763526,25.992642578125,5.200345069169998,4e1fbd048d3223ce,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.4792787415613535,4.4792787415613535,5.997848153114319,4,32768,26.00571653014049,26.00569921875,5.520523991435766,e6d2cfd82313584c,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.488856135779322,4.488856135779322,6.006391644477844,4,32768,26.138624687679112,26.138591796875,5.529473070055246,e8b19068bac2d1cb,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.476033903848766,4.476033903848766,5.994949460029602,4,32768,25.98311906401068,25.9830859375,5.634921137243509,7bcf7491a2f3410d,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.4803813951943505,4.4803813951943505,5.998832702636719,4,32768,25.99721347214654,25.997201171875,5.651763174682856,1f19a775582368ee,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.475591050355914,4.475591050355914,5.9945536851882935,4,32768,25.97358940402046,25.973556640625,5.744754336774349,6ee90895a3c2ed8b,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.481036654062827,4.481036654062827,5.999417662620544,4,32768,25.960949080064893,25.960943359375,5.706071853637695,72d30b1bda2d1167,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
